datetime;averageVehicleSpeed;travelTime;trafficStatus;Geo Point;vitesse_maxi;denomination;hierarchie_dv
2025-11-04 17:24:00+01:00;50;80;heavy;48.073235133479685, -1.7891856992293145;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;73;54;freeFlow;48.073180541085506, -1.789324687578002;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;111;3;freeFlow;48.08121218030474, -1.7907897218795679;110;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;39;5;heavy;48.080193190663294, -1.7938891971882505;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;35;4;heavy;48.08055757553529, -1.793818446450926;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;47;3;heavy;48.078079410572364, -1.793272401717373;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;48;2;heavy;48.07791099584271, -1.7929298576311015;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;46;4;heavy;48.077590340701725, -1.7929655387535064;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;29;7;heavy;48.077430125677125, -1.7934782229578308;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;29;4;heavy;48.07763496075057, -1.7938736098649377;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;31;5;heavy;48.07796911041048, -1.7937687347457671;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;47;18;heavy;48.079094029012246, -1.7937801661805786;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;36;23;heavy;48.07907396914117, -1.7939384001729801;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;31;1;heavy;48.092485853171425, -1.780362972592175;50;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;34;1;heavy;48.09258800001197, -1.7804150024415644;50;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;73;0;freeFlow;48.09862949235114, -1.7578013723606387;70;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;84;136;freeFlow;48.090477812624016, -1.7740962840336678;110;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;14;28;congested;48.11138448645683, -1.6471199879236258;50;Avenue François Château;Réseau de distribution
2025-11-04 17:24:00+01:00;19;13;heavy;48.111593298759225, -1.646985205565579;50;Avenue François Château;Réseau de distribution
2025-11-04 17:24:00+01:00;26;3;heavy;48.127283022828614, -1.620926019398647;50;Rond-point de Bouriande;Réseau structurant
2025-11-04 17:24:00+01:00;19;3;heavy;48.12736204657633, -1.6210801315304775;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;4;34;congested;48.128767251731034, -1.6211904940807678;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;18;5;heavy;48.12877218189266, -1.6213515439974044;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;10;50;heavy;48.12801801899974, -1.6211734869762007;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;23;22;freeFlow;48.128007934137706, -1.6212988285255125;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;31;4;heavy;48.12716133296319, -1.6214330492303486;50;Rond-point de Bouriande;Réseau structurant
2025-11-04 17:24:00+01:00;26;3;freeFlow;48.12733344681054, -1.6213058037477326;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;17;7;heavy;48.1373064205458, -1.7714281756489163;50;Rond-point des Sorinais;Réseau de transit
2025-11-04 17:24:00+01:00;45;21;freeFlow;48.13840854021512, -1.7708236170413825;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;18;54;heavy;48.1384268976205, -1.7709378561605327;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;69;3;freeFlow;48.14018486170088, -1.7699716783427364;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;70;18;freeFlow;48.141816076695626, -1.7686856996304272;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;43;29;freeFlow;48.14187396169774, -1.768821082808027;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;37;5;freeFlow;48.14019432944634, -1.7700276237236616;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;13;13;congested;48.13979060602459, -1.7702543390762917;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;36;2;freeFlow;48.1373341934789, -1.7717138066767535;50;Rond-point des Sorinais;Réseau de transit
2025-11-04 17:24:00+01:00;67;2;freeFlow;48.1397740104029, -1.7701496688848857;50;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;75;20;freeFlow;48.11811646620949, -1.5728567047486834;90;Route nationale 136;Route nationale
2025-11-04 17:24:00+01:00;4;62;congested;48.136179418099985, -1.659101560961114;50;Avenue Général George S. Patton;Réseau de distribution
2025-11-04 17:24:00+01:00;26;10;heavy;48.136207054944784, -1.6592574265370907;50;Avenue Général George S. Patton;Réseau de distribution
2025-11-04 17:24:00+01:00;30;1;heavy;48.138458602052715, -1.6585478664242883;50;Avenue Général George S. Patton;Réseau de distribution
2025-11-04 17:24:00+01:00;47;1;freeFlow;48.13846649648495, -1.658708682992582;50;Avenue Général George S. Patton;Réseau de distribution
2025-11-04 17:24:00+01:00;31;1;heavy;48.14041887939144, -1.6865327734072781;50;Rond-point;Réseau structurant
2025-11-04 17:24:00+01:00;53;46;heavy;48.08030894998808, -1.636032435489552;90;Route départementale 173;Réseau de transit
2025-11-04 17:24:00+01:00;36;5;freeFlow;48.07799743978861, -1.6327339945633106;50;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;34;3;heavy;48.077890423628155, -1.63204219483465;50;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;23;6;heavy;48.078191621416366, -1.6319617795191668;50;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;37;3;freeFlow;48.07837442195841, -1.6322870204195798;50;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;35;3;freeFlow;48.07829960085891, -1.63263853113968;50;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;46;40;heavy;48.0797154513757, -1.6350967985689229;90;Route départementale 173;Réseau de transit
2025-11-04 17:24:00+01:00;82;10;freeFlow;48.08148821598266, -1.6391970333330739;70;Porte d'Angers;Réseau de transit
2025-11-04 17:24:00+01:00;21;14;heavy;48.08249340800858, -1.6398588385143449;70;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;8;572;congested;48.095222515468095, -1.7892949485405263;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;35;132;heavy;48.095248865886624, -1.7894536616014787;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;11;65;congested;48.1007635482145, -1.7843974532708102;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;74;10;freeFlow;48.10081920533214, -1.7845355095545474;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;50;57;heavy;48.0859239285389, -1.7930838154226385;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;41;70;heavy;48.085911619318445, -1.792923759933605;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;25;4;heavy;48.091314597720164, -1.786125714274395;50;Rond-point de Gerhoui;Réseau structurant
2025-11-04 17:24:00+01:00;30;3;heavy;48.09106930552083, -1.7862791083822849;50;Rond-point de Gerhoui;Réseau structurant
2025-11-04 17:24:00+01:00;34;1;heavy;48.09120542821172, -1.7859161418807574;50;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;23;1;heavy;48.09130766651202, -1.7859677687717497;50;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;21;7;congested;48.08947783819634, -1.7926238479273746;80;Rond-point de la Croix Verte;Réseau de transit
2025-11-04 17:24:00+01:00;32;4;heavy;48.089779852985764, -1.7928458963042972;80;Rond-point de la Croix Verte;Réseau de transit
2025-11-04 17:24:00+01:00;23;5;congested;48.0900452661458, -1.792616736297936;80;Rond-point de la Croix Verte;Réseau de transit
2025-11-04 17:24:00+01:00;19;10;congested;48.09004206943372, -1.7921321279023905;80;Rond-point de la Croix Verte;Réseau de transit
2025-11-04 17:24:00+01:00;25;5;heavy;48.08972876447517, -1.791857598001902;80;Rond-point de la Croix Verte;Réseau de transit
2025-11-04 17:24:00+01:00;23;6;congested;48.08946055766841, -1.792144089038064;80;Rond-point de la Croix Verte;Réseau de transit
2025-11-04 17:24:00+01:00;35;12;heavy;48.090005930414264, -1.7911095146857248;80;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;4;93;congested;48.09010782496466, -1.791162632989203;80;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;31;9;unknown;48.078584254180726, -1.631837452970979;30;Rue des Loges;Réseau de distribution
2025-11-04 17:24:00+01:00;5;47;congested;48.078628896455356, -1.6319840915360964;30;Rue des Loges;Réseau de distribution
2025-11-04 17:24:00+01:00;62;8;heavy;48.07742309761, -1.631598939333473;90;Route départementale 173;Réseau de transit
2025-11-04 17:24:00+01:00;31;3;heavy;48.091133271375554, -1.7860267999836035;50;Rond-point de Gerhoui;Réseau structurant
2025-11-04 17:24:00+01:00;21;4;heavy;48.091260018424535, -1.7863756532167347;50;Rond-point de Gerhoui;Réseau structurant
2025-11-04 17:24:00+01:00;28;18;heavy;48.077467957952464, -1.6314253722215901;90;Route départementale 173;Réseau de transit
2025-11-04 17:24:00+01:00;60;27;freeFlow;48.10029684541722, -1.7556676922730647;70;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;20;3;congested;48.09866864200517, -1.7576674418548006;70;Route nationale 24;Réseau structurant
2025-11-04 17:24:00+01:00;10;140;heavy;48.13288943037747, -1.6213958753330977;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;9;153;heavy;48.132859196372486, -1.6215489010021469;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;29;1;freeFlow;48.13083216534527, -1.6211275765631012;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;22;2;freeFlow;48.13083382616315, -1.6212887821223188;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;26;27;freeFlow;48.12990415390831, -1.6211489472188227;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;17;42;heavy;48.12990779621046, -1.621310101494935;30;Boulevard des Alliés;Réseau structurant
2025-11-04 17:24:00+01:00;30;2;unknown;48.12712381932153, -1.6287496145321416;30;Rue du Clos Courtel;Réseau de distribution
2025-11-04 17:24:00+01:00;26;2;freeFlow;48.12708924958968, -1.6289023342904385;30;Rue du Clos Courtel;Réseau de distribution
2025-11-04 17:24:00+01:00;39;37;freeFlow;48.12356494249871, -1.6355874996458077;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;20;76;heavy;48.12365968373109, -1.6356675340419118;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;50;2;unknown;48.12728698981317, -1.6211798125964674;50;Rond-point de Bouriande;Réseau structurant
2025-11-04 17:24:00+01:00;29;1;heavy;48.12487653336689, -1.633309525780181;50;Rond-point;Réseau de distribution
2025-11-04 17:24:00+01:00;23;2;heavy;48.124826781097184, -1.6334376578265224;50;Rond-point;Réseau de distribution
2025-11-04 17:24:00+01:00;27;3;heavy;48.12491461832435, -1.6335178820773453;50;Rond-point;Réseau de distribution
2025-11-04 17:24:00+01:00;30;23;heavy;48.12549900811469, -1.6322971179429449;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;50;13;unknown;48.12557327419174, -1.6324146697194057;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;32;5;heavy;48.1261934672222, -1.631094542682498;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;50;4;unknown;48.12627970776, -1.6311914339452511;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;29;5;heavy;48.12643847488413, -1.6305809905151865;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;50;3;unknown;48.12652809360854, -1.630670825651805;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;10;107;congested;48.12858791921016, -1.629662500655217;50;Rue du Clos Courtel;Réseau de distribution
2025-11-04 17:24:00+01:00;24;46;heavy;48.12853422731726, -1.6298020434440623;50;Rue du Clos Courtel;Réseau de distribution
2025-11-04 17:24:00+01:00;19;2;heavy;48.12709167960492, -1.6289038605443635;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;50;1;unknown;48.12718876751469, -1.6289742818705264;50;Avenue des Buttes de Coësmes;Réseau de distribution
2025-11-04 17:24:00+01:00;27;3;heavy;48.12200236356608, -1.6399867579610354;50;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;50;1;unknown;48.122086211808515, -1.6400882559613945;50;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;20;14;heavy;48.122236835359026, -1.6394307918585582;30;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;30;9;unknown;48.12233015478864, -1.6395125499846601;30;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;30;11;heavy;48.121708584787896, -1.6406328386156714;50;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;50;6;unknown;48.12180057822818, -1.6407173839421694;50;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;39;17;freeFlow;48.12119195108902, -1.6422876991629896;50;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;50;13;unknown;48.12129016906027, -1.642354525620369;50;Avenue Professeur Charles Foulon;Réseau de distribution
2025-11-04 17:24:00+01:00;32;3;heavy;48.09259449342911, -1.7805687090049493;50;Rond-point du Chêne Vert;Réseau structurant
2025-11-04 17:24:00+01:00;31;3;heavy;48.09253812845354, -1.780801808195041;50;Rond-point du Chêne Vert;Réseau structurant
2025-11-04 17:24:00+01:00;31;3;heavy;48.09242265756114, -1.780485758261856;50;Rond-point du Chêne Vert;Réseau structurant
2025-11-04 17:24:00+01:00;63;33;freeFlow;48.06693964293035, -1.6983019873161294;90;Route départementale 837;Réseau structurant
2025-11-04 17:24:00+01:00;16;50;heavy;48.112827288734195, -1.6381831532908966;50;Avenue des Préales;Réseau de distribution
2025-11-04 17:24:00+01:00;37;21;freeFlow;48.112719591719646, -1.63819295245193;50;Avenue des Préales;Réseau de distribution
2025-11-04 17:24:00+01:00;28;3;heavy;48.12497989568794, -1.6333886639673136;50;Rond-point;Réseau de distribution
2025-11-04 17:24:00+01:00;22;8;heavy;48.09409485833551, -1.7734137212596126;50;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;50;4;unknown;48.094196567465254, -1.7734676293422775;50;Rue Nationale;Réseau structurant
2025-11-04 17:24:00+01:00;8;29;congested;48.11135281159727, -1.7010488013916085;50;Rue Louis Guilloux;Réseau de distribution
2025-11-04 17:24:00+01:00;38;6;freeFlow;48.11127114863661, -1.7011541773723466;50;Rue Louis Guilloux;Réseau de distribution
2025-11-04 17:24:00+01:00;56;14;heavy;48.05497154372683, -1.703983695052614;90;Route départementale 837;Réseau structurant
2025-11-04 17:24:00+01:00;45;7;freeFlow;48.13123970142073, -1.6902613732930964;50;Rue de Saint-Malo;Réseau de distribution
2025-11-04 17:24:00+01:00;29;2;heavy;48.10937692507283, -1.6977040738760791;50;Rue Louis Guilloux;Réseau de distribution
